,Match #,Time,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
0,1,2020-03-06 09:29:02,2122,4068,6968,3374,1339,4348
1,2,2020-03-06 09:38:01,4550,5461,7906,701,4293,2594
2,3,2020-03-06 09:46:01,3239,2993,5933,7426,5493,2972
3,4,2020-03-06 09:53:01,662,1410,1569,8,3405,5871
4,5,2020-03-06 10:01:01,3230,6411,4598,670,7895,7909
5,6,2020-03-06 10:11:01,7634,3216,3225,1868,3243,1891
6,7,2020-03-06 10:17:03,8174,4643,7151,7905,3200,3245
7,8,2020-03-06 10:34:01,2083,4386,7436,4585,159,7243
8,9,2020-03-06 10:51:01,3289,5071,3006,668,6844,3648
9,10,2020-03-06 11:01:01,1410,7426,4293,6411,4068,662
10,11,2020-03-06 11:15:01,2993,5871,7909,5933,7906,1891
11,12,2020-03-06 11:21:18,8174,3405,1339,7634,7151,3243
12,13,2020-03-06 11:29:02,2083,3230,2122,1569,3225,4386
13,14,2020-03-06 11:36:01,3289,701,7243,3006,3245,2972
14,15,2020-03-06 11:42:18,5071,3200,5461,7436,8,4348
15,16,2020-03-06 11:49:03,3648,4550,7905,159,7895,668
16,17,2020-03-06 11:59:01,3216,670,3239,4585,6968,6844
17,18,2020-03-06 12:05:01,5493,1868,4643,4598,3374,2594
18,19,2020-03-06 12:43:06,1891,1339,4386,2972,701,6411
19,20,2020-03-06 12:50:01,2122,7436,8174,5933,3289,4068
20,21,2020-03-06 12:56:02,5871,4348,3245,7634,4550,2993
21,22,2020-03-06 13:09:01,668,1569,6968,4293,7909,6844
22,23,2020-03-06 13:20:02,2594,7151,7426,670,8,3006
23,24,2020-03-06 13:26:03,3648,7895,4585,3405,7243,1868
24,25,2020-03-06 13:35:02,662,3230,3243,5461,4643,2083
25,26,2020-03-06 13:41:43,1410,3374,3225,4598,3239,3200
26,27,2020-03-06 13:51:03,7905,7906,159,5071,5493,3216
27,28,2020-03-06 14:00:01,701,8,4068,3289,2993,668
28,29,2020-03-06 14:06:01,4348,4550,1868,3405,6411,5933
29,30,2020-03-06 14:15:01,7151,3245,6844,2083,5871,7895
30,31,2020-03-06 14:22:06,6968,3006,7634,2972,4598,662
31,32,2020-03-06 14:30:02,7909,3225,4585,8174,5071,3374
32,33,2020-03-06 14:41:02,5461,7243,1891,7905,2122,7426
33,34,2020-03-06 14:48:14,7906,3243,5493,1410,3648,4386
34,35,2020-03-06 14:56:00,2594,3239,1569,1339,3200,159
35,36,2020-03-06 15:03:01,4643,3230,670,4293,7436,3216
36,37,2020-03-06 15:09:01,2972,4585,5071,4550,7151,662
37,38,2020-03-06 15:20:01,3405,3006,7909,8,3225,2122
38,39,2020-03-06 15:26:01,4598,6968,701,3243,7905,2083
39,40,2020-03-06 15:36:01,3239,1339,7895,7906,2993,8174
40,41,2020-03-06 15:45:01,1891,2594,3245,3648,4068,4293
41,42,2020-03-06 15:50:02,6411,6844,3200,7243,5493,3230
42,43,2020-03-06 15:56:01,7426,668,7436,1868,3216,5871
43,44,2020-03-06 16:05:01,4386,4348,670,3289,1410,4643
44,45,2020-03-06 16:13:01,5461,7634,3374,159,1569,5933
45,46,2020-03-06 16:19:01,7905,8174,8,2122,2972,3648
46,47,2020-03-06 16:27:03,5493,4293,2083,4068,3405,5071
47,48,2020-03-06 16:32:03,3245,4598,3243,6844,3239,7436
48,49,2020-03-06 16:39:03,7895,7426,4550,7909,6968,4643
49,50,2020-03-06 16:47:02,4386,3200,2993,1868,662,5461
50,51,2020-03-06 16:55:01,3225,5871,7243,159,701,4348
51,52,2020-03-06 17:06:04,2594,3289,3216,1569,6411,7634
52,53,2020-03-06 17:12:01,4585,3006,3230,5933,1339,1410
53,54,2020-03-06 17:18:02,7906,3374,668,1891,670,7151
54,55,2020-03-06 17:25:01,2993,3648,3405,7909,7905,4598
55,56,2020-03-06 17:33:01,2972,159,4293,4348,3243,3200
56,57,2020-03-06 17:40:02,6844,3216,7895,3225,4068,5461
57,58,2020-03-06 17:48:01,8174,1569,5493,4643,7243,7426
58,59,2020-03-06 17:59:00,5071,5933,662,3245,670,1339
59,60,2020-03-06 18:06:02,4550,4386,3289,3374,2083,3239
60,61,2020-03-06 18:15:01,7151,2122,701,3230,1410,1868
61,62,2020-03-06 18:20:05,668,3006,6411,7436,7634,7906
62,63,2020-03-06 18:26:51,4585,2594,8,5871,1891,6968
63,64,2020-03-06 18:40:01,3216,1569,3405,670,2972,2993
64,65,2020-03-06 18:45:01,4348,2083,3225,7426,3648,1339
65,66,2020-03-07 09:08:01,7151,5461,5493,3245,7909,3289
66,67,2020-03-07 09:17:07,662,4293,3374,6844,8174,701
67,68,2020-03-07 09:22:51,3200,7436,5871,6968,7905,4386
68,69,2020-03-07 09:32:06,6411,4643,159,2122,668,4585
69,70,2020-03-07 09:38:02,1868,7634,8,7243,7906,3239
70,71,2020-03-07 09:44:01,3230,1891,4068,3006,4598,4550
71,72,2020-03-07 09:52:01,3243,5071,1410,2594,5933,7895
72,73,2020-03-07 09:58:01,1339,4293,7905,7426,3289,3225
73,74,2020-03-07 10:07:00,5871,2972,4643,3648,6411,5461
74,75,2020-03-07 10:15:01,3239,7909,668,7243,662,4348
75,76,2020-03-07 10:21:01,670,2083,4550,3200,1868,3006
76,77,2020-03-07 10:28:01,701,7634,5493,7895,5071,2122
77,78,2020-03-07 10:35:01,4068,3245,7906,1569,4585,3243
78,79,2020-03-07 10:41:04,3374,6844,2993,7436,2594,1410
79,80,2020-03-07 10:48:02,3216,5933,4598,8,4386,7151
80,81,2020-03-07 10:55:00,159,1891,3405,6968,8174,3230
81,82,2020-03-07 11:01:16,5871,3239,3648,4293,2122,670
82,83,2020-03-07 11:10:01,3200,7909,701,4068,4585,7634
83,84,2020-03-07 11:16:01,7895,1868,7905,3006,4348,1569
84,85,2020-03-07 11:23:02,4386,5933,2972,3225,668,2594
85,86,2020-03-07 11:30:03,1339,662,7436,5493,1891,4550
86,87,2020-03-07 11:37:04,6968,7243,6411,2993,7151,5071
87,88,2020-03-07 11:44:05,2083,1410,4598,3216,5461,8174
88,89,2020-03-07 11:51:06,6844,159,3289,4643,3405,7906
